Molarity,NaCl,Sucrose,Arginine,pH,Buffer,Concentration (mg/mL),Formulation ID,Base Value,Predicted Value
-2.522982751373342e-09,-5.168631429170393e-10,-7.485686809491159e-09,2.422031670365792e-09,-1.4636584023219256e-08,1.1162574436285014e-08,6.790554614259901e-09,6,3.012718037819096e-07,2.9648484777581947e-07
-2.9896287531343612e-09,-5.947593404349216e-10,-7.4239759636119954e-09,1.8313036837200514e-09,-1.612580797926798e-08,1.1657700875714157e-08,-3.6106440550804725e-09,6,3.012718037819096e-07,2.8401599224981404e-07
-3.427398843779922e-09,-6.534065875516594e-10,-7.263095096151005e-09,1.0680093398660125e-09,-1.7456213130026002e-08,1.1953554018430485e-08,-1.4220333331493887e-08,6,3.012718037819096e-07,2.712729201512036e-07
1.2464366824637137e-08,-2.330135914610702e-10,3.142787528362976e-09,1.585669653260778e-08,1.2999161021197274e-08,-2.246645193974901e-09,9.596897046318251e-09,7,3.012718037819096e-07,3.52852053949597e-07
1.2600330048087934e-08,-2.2499726560904387e-10,3.0741612836442534e-09,1.666505669466408e-08,1.3065815251878379e-08,-2.48555156036916e-09,5.802759965779108e-09,7,3.012718037819096e-07,3.497693781999851e-07
1.275361556641701e-08,-2.0432482404808025e-10,2.8988074851686246e-09,1.8035920657408675e-08,1.3272951613416369e-08,-2.9648094125564665e-09,-2.829086391100355e-09,7,3.012718037819096e-07,3.4223487847661536e-07
1.2738554255308375e-08,-1.792269841330747e-10,2.687956491048021e-09,1.8972506034165096e-08,1.3563644967422354e-08,-3.405877325884932e-09,-1.2119488355564395e-08,7,3.012718037819096e-07,3.3352987286427103e-07
2.0773957109757866e-10,4.748804614824538e-10,-6.6958789714067216e-09,2.0499564132809877e-09,-1.2767784886201305e-08,1.1705146654209028e-08,1.1611286135734954e-08,8,3.012718037819096e-07,3.078571491601066e-07
2.588262567784966e-11,5.240695502840017e-10,-6.7062120614554535e-09,1.7535993689047623e-09,-1.3491305916588389e-08,1.1990447542167777e-08,6.816329760499013e-09,8,3.012718037819096e-07,3.021846146513991e-07
-3.783216076089091e-10,6.139534417432101e-10,-6.658253441703342e-09,1.0075915113983457e-09,-1.492859202505467e-08,1.2428273751685262e-08,-3.6056798259491482e-09,8,3.012718037819096e-07,2.8975077558642035e-07
-8.029888244305702e-10,6.85250563611797e-10,-6.524096663627305e-09,1.213163561654098e-10,-1.6238243975082565e-08,1.2653593958975731e-08,-1.427089485988438e-08,8,3.012718037819096e-07,2.768957403376377e-07
-6.114337119124575e-09,1.797871842956676e-10,-1.7015026138841215e-09,-3.724136995837401e-08,-2.2065639788484562e-08,1.6292600801426014e-08,1.2444773212126622e-08,9,3.012718037819096e-07,2.630661154998906e-07
-6.190529634084464e-09,1.8833650787668305e-10,-1.7390825638855612e-09,-3.8395451810979336e-08,-2.2098965337753266e-08,1.6487223971461302e-08,6.815774329431065e-09,9,3.012718037819096e-07,2.56339109243976e-07
-6.320124833802552e-09,2.0303161737090364e-10,-1.7989723937909679e-09,-3.993492626239921e-08,-2.1845830859737695e-08,1.6709776906491047e-08,-4.296692974569166e-09,9,3.012718037819096e-07,2.4398806498147197e-07
-6.408876423007092e-09,2.1336886799678617e-10,-1.8339949101391789e-09,-4.0339574776825343e-08,-2.1194055328312695e-08,1.6691954481223856e-08,-1.431126641674545e-08,9,3.012718037819096e-07,2.3408935927610045e-07
-1.3631816424337682e-08,9.558805836487929e-10,5.430635590453559e-09,1.2246724195325606e-08,6.1015972309843614e-09,-6.645110534246033e-09,1.1703667451115125e-08,10,3.012718037819096e-07,3.174333818748533e-07
-1.4094144630774178e-08,9.311669893331047e-10,5.392484120764822e-09,1.2506032260538424e-08,6.207686513792992e-09,-6.975559474302314e-09,6.867910186622304e-09,10,3.012718037819096e-07,3.1210737974788475e-07
-1.4887742332141322e-08,8.65859259839971e-10,5.25395282687108e-09,1.269403223189963e-08,6.345053159939551e-09,-7.58657469823761e-09,-3.6394453720346254e-09,10,3.012718037819096e-07,3.0031693885804627e-07
-1.544378097257363e-08,7.849811060745281e-10,5.045111620544089e-09,1.2433131134953222e-08,6.373980364264926e-09,-8.080817062766863e-09,-1.4379443609850045e-08,10,3.012718037819096e-07,2.8800496636255583e-07
1.978865834049136e-08,-2.916157898909397e-10,7.464689766334003e-10,-4.106164165324471e-09,-1.2899142531459844e-08,8.730655842503859e-09,1.2173180321597713e-08,11,3.012718037819096e-07,3.2541384477646067e-07
